Date,Open,High,Low,Close,Adj Close,Volume
2022-07-07,239.419998,244.289993,237.350006,238.570007,237.399063,622100
2022-07-08,239.110001,240.509995,237.589996,238.169998,237.001007,471700
2022-07-11,236.869995,239.440002,235.369995,238.559998,237.389099,558400
2022-07-12,236.449997,237.000000,231.539993,232.190002,231.050369,1008900
2022-07-13,229.210007,233.220001,226.970001,227.020004,225.905746,927600
2022-07-14,223.429993,224.330002,219.110001,221.910004,220.820831,1118600
2022-07-15,225.229996,225.850006,221.679993,223.839996,222.741348,1106200
2022-07-18,224.940002,225.830002,219.929993,220.119995,219.039597,1293500
2022-07-19,219.110001,226.639999,218.580002,225.639999,224.532516,1810400
2022-07-20,226.160004,227.059998,223.710007,224.369995,223.268738,1448100
2022-07-21,223.639999,225.190002,221.240005,224.089996,222.990112,1067600
2022-07-22,225.479996,229.020004,224.300003,225.130005,224.025024,720700
2022-07-25,225.220001,228.250000,224.889999,226.300003,225.189270,552900
2022-07-26,226.300003,227.600006,223.149994,223.750000,222.651794,718500
2022-07-27,223.679993,225.380005,220.869995,223.899994,222.801041,1049000
2022-07-28,225.050003,232.080002,223.070007,231.789993,230.652313,1253900
2022-07-29,229.169998,241.110001,228.089996,239.970001,238.792175,1759300
2022-08-01,240.509995,243.929993,238.399994,241.000000,239.817123,1138800
2022-08-02,242.669998,248.529999,239.970001,243.970001,242.772552,1049300
2022-08-03,243.289993,243.600006,235.000000,241.360001,240.175354,984800
2022-08-04,241.970001,242.990005,237.679993,237.850006,236.682587,944200
2022-08-05,236.509995,237.910004,232.919998,234.580002,233.428635,1355000
2022-08-08,235.320007,236.399994,228.820007,231.750000,230.612518,1046200
2022-08-09,232.800003,234.479996,231.039993,233.500000,232.353928,1200200
2022-08-10,234.779999,235.169998,232.600006,234.679993,233.528137,725500
2022-08-11,234.750000,235.960007,230.350006,231.289993,230.154770,1051800
2022-08-12,231.869995,236.750000,230.690002,236.740005,235.578033,1024200
2022-08-15,235.970001,241.610001,235.470001,240.029999,238.851883,663900
2022-08-16,239.880005,240.929993,238.059998,239.330002,238.155319,450600
2022-08-17,237.570007,242.360001,237.000000,239.880005,238.702621,614800
2022-08-18,241.619995,242.929993,238.110001,238.380005,237.209991,545100
2022-08-19,237.949997,239.559998,237.449997,238.429993,237.259735,607900
2022-08-22,237.350006,238.419998,230.479996,231.199997,230.065216,1108900
2022-08-23,232.250000,234.860001,230.690002,232.139999,231.000610,1515600
2022-08-24,232.750000,234.679993,231.899994,233.080002,231.936005,896900
2022-08-25,233.800003,238.570007,233.449997,238.440002,237.269684,838000
2022-08-26,239.399994,240.589996,233.910004,234.059998,232.911179,705700
2022-08-29,232.020004,235.509995,230.809998,233.279999,232.135010,684500
2022-08-30,234.600006,234.839996,230.429993,231.240005,230.105026,637400
2022-08-31,231.300003,233.500000,227.679993,228.190002,227.069992,1412300
2022-09-01,226.229996,228.809998,226.050003,227.490005,227.490005,834700
2022-09-02,228.619995,231.050003,225.690002,227.199997,227.199997,1092600
2022-09-06,227.190002,231.509995,226.740005,229.770004,229.770004,1258700
